country,year,gwno,ccode,ifscode,ifs,gwabbrev,gdppc_WDI_PW,lngdppc_WDI_PW,democracy_DD,v2x_polyarchy_VDEM,v2x_corr_VDEM
Colombia,1842,100,100,233,COL,COL,NA,NA,NA,0.209,0.608
Colombia,1842,100,100,233,COL,COL,NA,NA,NA,0.209,0.608
Colombia,1843,100,100,233,COL,COL,NA,NA,NA,0.228,0.608
Colombia,1843,100,100,233,COL,COL,NA,NA,NA,0.228,0.608
Colombia,1844,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1844,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1845,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1845,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1846,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1846,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1847,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1847,100,100,233,COL,COL,NA,NA,NA,0.226,0.608
Colombia,1848,100,100,233,COL,COL,NA,NA,NA,0.232,0.608
Colombia,1848,100,100,233,COL,COL,NA,NA,NA,0.232,0.608
Colombia,1849,100,100,233,COL,COL,NA,NA,NA,0.24,0.608
Colombia,1849,100,100,233,COL,COL,NA,NA,NA,0.24,0.608
Colombia,1850,100,100,233,COL,COL,NA,NA,NA,0.252,0.608
Colombia,1850,100,100,233,COL,COL,NA,NA,NA,0.252,0.608
Colombia,1851,100,100,233,COL,COL,NA,NA,NA,0.259,0.608
Colombia,1851,100,100,233,COL,COL,NA,NA,NA,0.259,0.608
Colombia,1852,100,100,233,COL,COL,NA,NA,NA,0.259,0.608
Colombia,1852,100,100,233,COL,COL,NA,NA,NA,0.259,0.608
Colombia,1853,100,100,233,COL,COL,NA,NA,NA,0.253,0.608
Colombia,1853,100,100,233,COL,COL,NA,NA,NA,0.253,0.608
Colombia,1854,100,100,233,COL,COL,NA,NA,NA,0.207,0.608
Colombia,1854,100,100,233,COL,COL,NA,NA,NA,0.207,0.608
Colombia,1855,100,100,233,COL,COL,NA,NA,NA,0.272,0.608
Colombia,1855,100,100,233,COL,COL,NA,NA,NA,0.272,0.608
Colombia,1856,100,100,233,COL,COL,NA,NA,NA,0.271,0.608
Colombia,1856,100,100,233,COL,COL,NA,NA,NA,0.271,0.608
Colombia,1857,100,100,233,COL,COL,NA,NA,NA,0.292,0.608
Colombia,1857,100,100,233,COL,COL,NA,NA,NA,0.292,0.608
Colombia,1858,100,100,233,COL,COL,NA,NA,NA,0.294,0.608
Colombia,1858,100,100,233,COL,COL,NA,NA,NA,0.294,0.608
Colombia,1859,100,100,233,COL,COL,NA,NA,NA,0.284,0.608
Colombia,1859,100,100,233,COL,COL,NA,NA,NA,0.284,0.608
Colombia,1860,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1860,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1861,100,100,233,COL,COL,NA,NA,NA,0.205,0.608
Colombia,1861,100,100,233,COL,COL,NA,NA,NA,0.205,0.608
Colombia,1862,100,100,233,COL,COL,NA,NA,NA,0.182,0.608
Colombia,1862,100,100,233,COL,COL,NA,NA,NA,0.182,0.608
Colombia,1863,100,100,233,COL,COL,NA,NA,NA,0.236,0.608
Colombia,1863,100,100,233,COL,COL,NA,NA,NA,0.236,0.608
Colombia,1864,100,100,233,COL,COL,NA,NA,NA,0.254,0.608
Colombia,1864,100,100,233,COL,COL,NA,NA,NA,0.254,0.608
Colombia,1865,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1865,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1866,100,100,233,COL,COL,NA,NA,NA,0.255,0.608
Colombia,1866,100,100,233,COL,COL,NA,NA,NA,0.255,0.608
Colombia,1867,100,100,233,COL,COL,NA,NA,NA,0.245,0.608
Colombia,1867,100,100,233,COL,COL,NA,NA,NA,0.245,0.608
Colombia,1868,100,100,233,COL,COL,NA,NA,NA,0.252,0.608
Colombia,1868,100,100,233,COL,COL,NA,NA,NA,0.252,0.608
Colombia,1869,100,100,233,COL,COL,NA,NA,NA,0.257,0.608
Colombia,1869,100,100,233,COL,COL,NA,NA,NA,0.257,0.608
Colombia,1870,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1870,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1871,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1871,100,100,233,COL,COL,NA,NA,NA,0.256,0.608
Colombia,1872,100,100,233,COL,COL,NA,NA,NA,0.257,0.608
Colombia,1872,100,100,233,COL,COL,NA,NA,NA,0.257,0.608
Colombia,1873,100,100,233,COL,COL,NA,NA,NA,0.263,0.608
Colombia,1873,100,100,233,COL,COL,NA,NA,NA,0.263,0.608
Colombia,1874,100,100,233,COL,COL,NA,NA,NA,0.27,0.608
Colombia,1874,100,100,233,COL,COL,NA,NA,NA,0.27,0.608
Colombia,1875,100,100,233,COL,COL,NA,NA,NA,0.27,0.608
Colombia,1875,100,100,233,COL,COL,NA,NA,NA,0.27,0.608
Colombia,1876,100,100,233,COL,COL,NA,NA,NA,0.266,0.608
Colombia,1876,100,100,233,COL,COL,NA,NA,NA,0.266,0.608
Colombia,1877,100,100,233,COL,COL,NA,NA,NA,0.266,0.608
Colombia,1877,100,100,233,COL,COL,NA,NA,NA,0.266,0.608
Colombia,1878,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1878,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1879,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1879,100,100,233,COL,COL,NA,NA,NA,0.275,0.608
Colombia,1880,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1880,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1881,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1881,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1882,100,100,233,COL,COL,NA,NA,NA,0.278,0.608
Colombia,1882,100,100,233,COL,COL,NA,NA,NA,0.278,0.608
Colombia,1883,100,100,233,COL,COL,NA,NA,NA,0.278,0.608
Colombia,1883,100,100,233,COL,COL,NA,NA,NA,0.278,0.608
Colombia,1884,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1884,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1885,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1885,100,100,233,COL,COL,NA,NA,NA,0.277,0.608
Colombia,1886,100,100,233,COL,COL,NA,NA,NA,0.188,0.608
Colombia,1886,100,100,233,COL,COL,NA,NA,NA,0.188,0.608
Colombia,1887,100,100,233,COL,COL,NA,NA,NA,0.195,0.608
Colombia,1887,100,100,233,COL,COL,NA,NA,NA,0.195,0.608
Colombia,1888,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1888,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1889,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1889,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1890,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1890,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1891,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1891,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1892,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1892,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1893,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1893,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1894,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1894,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1895,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1895,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1896,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1896,100,100,233,COL,COL,NA,NA,NA,0.198,0.608
Colombia,1897,100,100,233,COL,COL,NA,NA,NA,0.199,0.608
Colombia,1897,100,100,233,COL,COL,NA,NA,NA,0.199,0.608
Colombia,1898,100,100,233,COL,COL,NA,NA,NA,0.197,0.608
Colombia,1898,100,100,233,COL,COL,NA,NA,NA,0.197,0.608
Colombia,1899,100,100,233,COL,COL,NA,NA,NA,0.196,0.608
Colombia,1899,100,100,233,COL,COL,NA,NA,NA,0.196,0.608
Colombia,1900,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
Colombia,1900,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
Colombia,1901,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
Colombia,1901,100,100,233,COL,COL,NA,NA,NA,0.161,0.543
